period,period_end,fund_code_a,fund_name_a,fund_code_b,fund_name_b,common_stock_count,name_intersection_count,name_union_count,name_jaccard,common_nav_share,common_stock_codes,doc_id_a,doc_id_b,source_pdf_sha256_a,source_pdf_sha256_b,terminology,input_sha256
2025Q3,2025-09-30,SYN001,稳健成长合成基金,SYN002,科技创新合成基金,5,5,15,0.3333333333333333,0.13,S00006|S00007|S00008|S00009|S00010,SYN001_2025Q3,SYN002_2025Q3,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3,10a81fd16f8823d3a7876652265c7379c8a1bc10b4d2738c42eedcc0fa7d05b1,公开前十大持仓重合,84c45e2b384cdce9a8b44b7c8867d613a2227b71a410db8961016793e2c563d3
2025Q3,2025-09-30,SYN001,稳健成长合成基金,SYN003,绿色转型合成基金,0,0,20,0.0,0.0,,SYN001_2025Q3,SYN003_2025Q3,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3,8307b7f90dd1665c9467a83456b9c8aa262611431e1bd770419ffd1271efca47,公开前十大持仓重合,84c45e2b384cdce9a8b44b7c8867d613a2227b71a410db8961016793e2c563d3
2025Q3,2025-09-30,SYN002,科技创新合成基金,SYN003,绿色转型合成基金,5,5,15,0.3333333333333333,0.13,S00011|S00012|S00013|S00014|S00015,SYN002_2025Q3,SYN003_2025Q3,10a81fd16f8823d3a7876652265c7379c8a1bc10b4d2738c42eedcc0fa7d05b1,8307b7f90dd1665c9467a83456b9c8aa262611431e1bd770419ffd1271efca47,公开前十大持仓重合,84c45e2b384cdce9a8b44b7c8867d613a2227b71a410db8961016793e2c563d3
2025Q4,2025-12-31,SYN001,稳健成长合成基金,SYN002,科技创新合成基金,5,5,15,0.3333333333333333,0.1315,S00007|S00008|S00009|S00010|S00011,SYN001_2025Q4,SYN002_2025Q4,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e,b5d80c51e29f655b121efd47fa2645ef14bfc81fb907b9d835e64342993f8b5b,公开前十大持仓重合,84c45e2b384cdce9a8b44b7c8867d613a2227b71a410db8961016793e2c563d3
2025Q4,2025-12-31,SYN001,稳健成长合成基金,SYN003,绿色转型合成基金,0,0,20,0.0,0.0,,SYN001_2025Q4,SYN003_2025Q4,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e,7ccbc692afa767d2ef1246e01d0bdfdb26b1eca98f38d0d6bc2192a8b28b04ff,公开前十大持仓重合,84c45e2b384cdce9a8b44b7c8867d613a2227b71a410db8961016793e2c563d3
2025Q4,2025-12-31,SYN002,科技创新合成基金,SYN003,绿色转型合成基金,5,5,15,0.3333333333333333,0.1315,S00012|S00013|S00014|S00015|S00016,SYN002_2025Q4,SYN003_2025Q4,b5d80c51e29f655b121efd47fa2645ef14bfc81fb907b9d835e64342993f8b5b,7ccbc692afa767d2ef1246e01d0bdfdb26b1eca98f38d0d6bc2192a8b28b04ff,公开前十大持仓重合,84c45e2b384cdce9a8b44b7c8867d613a2227b71a410db8961016793e2c563d3
2026Q1,2026-03-31,SYN001,稳健成长合成基金,SYN002,科技创新合成基金,5,5,15,0.3333333333333333,0.133,S00008|S00009|S00010|S00011|S00012,SYN001_2026Q1,SYN002_2026Q1,7d644bbff9c37e3a9841b5b8fbe2f46a4ca9d3bfda529915edff53cc80b47f15,bfdd6e4c42e7d1713c783ad6b6307d7acac0b244d8cdcf69fad7bbf28bf726dc,公开前十大持仓重合,84c45e2b384cdce9a8b44b7c8867d613a2227b71a410db8961016793e2c563d3
2026Q1,2026-03-31,SYN001,稳健成长合成基金,SYN003,绿色转型合成基金,0,0,20,0.0,0.0,,SYN001_2026Q1,SYN003_2026Q1,7d644bbff9c37e3a9841b5b8fbe2f46a4ca9d3bfda529915edff53cc80b47f15,b8935db7dd3e3aa633e215e729c58850aeadb40d937e758c981e330916cec1f1,公开前十大持仓重合,84c45e2b384cdce9a8b44b7c8867d613a2227b71a410db8961016793e2c563d3
2026Q1,2026-03-31,SYN002,科技创新合成基金,SYN003,绿色转型合成基金,5,5,15,0.3333333333333333,0.133,S00013|S00014|S00015|S00016|S00017,SYN002_2026Q1,SYN003_2026Q1,bfdd6e4c42e7d1713c783ad6b6307d7acac0b244d8cdcf69fad7bbf28bf726dc,b8935db7dd3e3aa633e215e729c58850aeadb40d937e758c981e330916cec1f1,公开前十大持仓重合,84c45e2b384cdce9a8b44b7c8867d613a2227b71a410db8961016793e2c563d3
2026Q2,2026-06-30,SYN001,稳健成长合成基金,SYN002,科技创新合成基金,5,5,15,0.3333333333333333,0.1345,S00009|S00010|S00011|S00012|S00013,SYN001_2026Q2,SYN002_2026Q2,8c2f39d0301644ce94a653c633d7d569d9102e388b04fbea4f35c94f4900e6ab,79c1d3752f2fddcf9972611b88b9bd081dbea618c8ebaeafc53078555ebb3e2b,公开前十大持仓重合,84c45e2b384cdce9a8b44b7c8867d613a2227b71a410db8961016793e2c563d3
